spacy_entities
"Ada witch -, PERSON
Duarte, PERSON

"
"
"
"March 2004, DATE
Dublin, GPE
the night of Dec. 11, 1998, TIME
John Paul Monego, PERSON
Three, CARDINAL
San Joaquin, GPE
Altamont, GPE
Dublin, GPE
Outback Steakhouse, ORG
Monego, PERSON
911, CARDINAL
Outback, WORK_OF_ART
one, CARDINAL
three, CARDINAL

"
"Three, CARDINAL
one night, TIME

"
"Echo Park, GPE
Hathaway Hills, FAC
Charlie Chaplin, PERSON
one afternoon, TIME
Mercedes Benz, ORG
sid e., PERSON
Today, DATE
Victorian, NORP
Psycho, GPE

"
"The Bethany House, ORG
Insane Asylum, PERSON
One, CARDINAL

"
"ten year old, DATE
the next day, DATE
this day, DATE
late at night, TIME

"
"four, CARDINAL

"
"nine, CARDINAL
nights, TIME
second, ORDINAL
Two, CARDINAL
Christmas, DATE
Mexican, NORP
one, CARDINAL

"
"night, TIME

"
"Chairs, PERSON

"
"second, ORDINAL

"
"Hollenbeck, ORG
Chicago, GPE
night, TIME
patient(ghost, GPE

"
"midnight, TIME

"
"Valley Road - Haunted, PERSON

"
"Chapel 2, PRODUCT
2, CARDINAL
20 feet, QUANTITY
2, CARDINAL
2, CARDINAL
Sunday, DATE
morning, TIME
May of 2007, DATE

"
"every night, TIME
every night, TIME

"
"the High School's, ORG

"
"Library, PERSON
the early and late 80's, DATE

"
"some nights, DATE

"
"midnight, TIME

"
"The Imperial Arts, ORG
Post, ORG
the Imperial Valley Arts Council, ORG
El Centro, FAC
5th, ORDINAL
Brighton, PERSON
Italian, NORP
1920, DATE
800 square foot, QUANTITY
El Centro Chamber of Commerce, ORG
El Centro Business Council, ORG

"
"8, CARDINAL

"
"One, CARDINAL

"
"the early 1900's, DATE
late at night, TIME

"
"
"
"
"
"
"
"2, CARDINAL
One, CARDINAL
50s era, DATE
One, CARDINAL
late one night, TIME
seconds, TIME

"
"two, CARDINAL
first, ORDINAL
20, CARDINAL
second, ORDINAL
1954, DATE

"
"overnight, TIME
1859, DATE
1993, DATE
1950, DATE

"
"American River - A, LOC
Park Ranger, PERSON
the night, TIME

"
"Indian, NORP
the 1920s, DATE
Indians, NORP

"
"Santa Margarita River Bridge - Many Stories, ORG
the California Gold Rush, EVENT
the early 1900's, DATE
the same year, DATE
Fallbrook Union High School, ORG
first, ORDINAL
three, CARDINAL
More than a dozen, CARDINAL

"
"1962, DATE
one, CARDINAL
this day, DATE

"
"the 60s, DATE
late at night, TIME
4:34 am, TIME

"
"Indian Chiefs, ORG
September 1999, DATE
2002, DATE
14, CARDINAL
coyotes one night, TIME
2004, DATE
Sadie Hawkins, PERSON

"
"Indians, NORP
The many years, DATE
over 2 dozen, CARDINAL
Indian, NORP

"
"
"
"One, CARDINAL
second, ORDINAL
first, ORDINAL

"
"Hart Theatre, ORG
Bertha, ORG
late at night, TIME
One, CARDINAL
Bertha, PERSON
night, TIME

"
"night around midnight, TIME
about 1/4, CARDINAL
a mile, QUANTITY
Mexican, NORP

"
"
"
"Sierra, ORG
Foothill Blvd, ORG
one, CARDINAL
last night, TIME
night, TIME
night, TIME
late at night, TIME

"
"Indian, NORP
70, DATE

"
"Route 66, FAC
Cherry and Citrus, ORG

"
"one day, DATE

"
"
"
"between 11pm and 4am, TIME

"
"
"
"
"
"the ""Ghost Children, ORG
the years, DATE

"
"Custer, PERSON
Fort Bragg, GPE
Pudding Creek, FAC
MacKerricker State Park, ORG

"
"
"
"
"
"3, CARDINAL

"
"the Redwood Hospital, ORG
one, CARDINAL

"
"About a year ago, DATE
Beachpark Plaza, GPE
late at night, TIME

"
"100, CARDINAL
some days, DATE
5, CARDINAL

"
"1950, DATE
Pinto Lake, LOC
1970, DATE
two, CARDINAL

"
"two, CARDINAL

"
"night, TIME
Victorian, NORP

"
"about half, CARDINAL

"
"Mission San Jose, PERSON
Mission, PERSON
1906, DATE
about 12 years ago, DATE
1800, DATE
Fremont, GPE
Sanctuary, GPE
Native, NORP

"
"Ohlone Burial, ORG
Mission San Jose, GPE
Ohlone Indians, NORP

"
"3, CARDINAL
'60s, DATE

"
"night, TIME
more than one, CARDINAL

"
"two, CARDINAL
the morning, TIME
One, CARDINAL

"
"Meux, PERSON

"
"Pindale, PERSON
night, TIME
Spanish, NORP

"
"
"
"99, CARDINAL
Herndon, GPE
2, CARDINAL
1950, DATE
Mexican, NORP
American, NORP
IBRONA, ORG

"
"
"
"at least one hundred years, CARDINAL
Vendo, PERSON
Japanese, NORP
Japanese, NORP
half, CARDINAL
Vendo, PRODUCT
7 years ago, DATE
this day, DATE

"
"2, CARDINAL
one, CARDINAL
two, CARDINAL

"
"the mid 80's, DATE
this day, DATE
22, CARDINAL

"
"moans, NORP

"
"2am, TIME

"
"Harbor and Commonwealth, FAC
Melody Inn, PERSON
80, CARDINAL
Melody, PERSON

"
"Fox Theatre, ORG
Michael O’Donnell’s, PERSON
Michael, PERSON
Dorothy, PERSON

"
"night, TIME
summer, DATE

"
"Fullerton, GPE
Plummer Auditorium, FAC
Fullerton, GPE
One, CARDINAL
WWII, EVENT

"
"
"
"up after hours, TIME

"
"Rumor, ORG
Lizzy, PERSON
the Heritage Hall, FAC
1933, DATE
Lizzy, PERSON
Long Beach, GPE
Lizzy, PERSON
night, TIME

"
"Lizzy, PERSON
2 inch, QUANTITY
1, CARDINAL
2, CARDINAL

"
"Three, CARDINAL
one, CARDINAL
night, TIME

"
"
"
"the Mining Days, EVENT
Georgetown, GPE
Fire Department, ORG

"
"
"
"Indian, NORP
four, CARDINAL
all times day, DATE
night, TIME
one, CARDINAL
One, CARDINAL

"
"night, TIME
Claudia, GPE
Garden, GPE

"
"Chitactac-Adams Interpretive Center, ORG
Watsonville Road, FAC
Indian, NORP
night, TIME
Ohlone, ORG

"
"
"
"Henry Miller, PERSON
Daughter, PERSON
Daughter, PERSON
Hills, LOC
decades, DATE
Pole Line, ORG
about midnight, TIME

"
"2, CARDINAL
20, CARDINAL
2, CARDINAL

"
"ROP, ORG

"
"Jack London's, PERSON
House, ORG

"
"Glen Helen, GPE
two through three minutes, TIME
six, CARDINAL
first, ORDINAL

"
"Brand, PERSON
3-foot, QUANTITY

"
"the Daughters of the American Revolution, ORG
1982, DATE
first, ORDINAL
monthly, DATE
the early 1910s', DATE

"
"mid 90's, DATE
early in the morning, TIME
a foggy morning, TIME
One, CARDINAL
one, CARDINAL

"
"Wal-Mart, ORG
Indian, NORP
about ten, CARDINAL
only three, CARDINAL

"
"
"
"4, CARDINAL
2, CARDINAL

"
"1800, DATE
one, CARDINAL
Arletta Douglas, PERSON
second, ORDINAL

"
"years, DATE
one, CARDINAL
one night, TIME

"
"Christian, NORP
1960, DATE
the mid 80's, DATE
one, CARDINAL

"
"5 miles, QUANTITY
Wolf Mountain, WORK_OF_ART
1/4 mile, QUANTITY
many years, DATE
Anton LaVey, PERSON
Satan, GPE
the late sixties, DATE
several years, DATE
Satan, EVENT
prese, NORP
the years, DATE

"
"The Bed & Breakfast, ORG
Lyle, WORK_OF_ART
Lyle, PERSON
Lyle, PERSON
Groveland, GPE
Lyle, PERSON
March 2005, DATE
Lyle, PERSON
Room 9, DATE
18, CARDINAL
FAM, ORG
UK, GPE

"
"
"
"92(near, DATE
Skyline Cemetery, PERSON
70, DATE

"
"
"
"Friday, DATE
47 years, DATE
the early sixties, DATE

"
"first, ORDINAL
the Civic Auditorium, FAC
Christmas day, DATE
Auditorium, LOC

"
"Hanford, NORP

"
"the Irwin Street Inn, ORG
at least 3, CARDINAL
second, ORDINAL

"
"
"
"
"
"Duck Pond -, PERSON

"
"Nyman Hall, FAC
seventeen, CARDINAL

"
"Cinema Theater, PERSON
night, TIME

"
"Robinson Hall, FAC
around 10pm, TIME

"
"George, PERSON
4, CARDINAL
5, DATE
March 2008, DATE
3, CARDINAL

"
"the late 1960's, DATE
all night, TIME
nighttime, TIME
about 200 yards, QUANTITY
a few minutes, TIME

"
"
"
"George, PERSON
4, CARDINAL

"
"
"
"Victorian, NORP

"
"night, TIME
one, CARDINAL

"
"Christine, PERSON

"
"the late 1800s, DATE
San Jacinto Valley, LOC
Hemet & San Jacinto, ORG
Ramona, GPE
Alessandro, PERSON
Helen Hunt Jackson, PERSON
Alessandro, PERSON
Ramona, GPE
only three, CARDINAL
fourth, ORDINAL
later years, DATE
this day, DATE
one, CARDINAL
three, CARDINAL
fourth, ORDINAL

"
"
"
"
"
"
"
"the years, DATE
Laurel Canyon, FAC
Laurel Canyon, ORG
Lookout Mountain, LOC

"
"the All Star Cafe, ORG
the Ladies Vanity Room, GPE

"
"
"
"20, CARDINAL
Howard Hughes, PERSON
Marilyn Monroe, PERSON
Boris Karloff, PERSON
Jim Morrison, PERSON
John Belushi's, PERSON

"
"night, TIME
Disney, ORG

"
"two, CARDINAL

"
"One, CARDINAL
Valentino, PERSON
Valentino, ORG
20, CARDINAL
2, CARDINAL
night, TIME
every night, TIME
one, CARDINAL

"
"Toby, ORG
one, CARDINAL
second, ORDINAL

"
"Noises, ORG
the early 1900's, DATE

"
"Two, CARDINAL
Hollywood, GPE
late at night, TIME
Griffith, PERSON

"
"One, CARDINAL

"
"two, CARDINAL
one, CARDINAL
two, CARDINAL
one, CARDINAL

"
"Victor Killian, PERSON

"
"Errol Flynn's, PERSON
The most active month, DATE
August, DATE
nightly, DATE

"
"the Hollywood Roosevelt Hotel, FAC
at least two, CARDINAL
Marilyn Monroe, PERSON

"
"30's/40, CARDINAL

"
"70, DATE
Todd A/O, PERSON
60, CARDINAL

"
"Lon Chaney Sr.'s, PERSON
One, CARDINAL
the set years ago, DATE
one, CARDINAL

"
"A few minutes later, TIME

"
"1935, DATE
800, CARDINAL
1936, DATE
Nine, CARDINAL
August of 1997, DATE
Six, CARDINAL
two, CARDINAL
one, CARDINAL
Fritz, PERSON
almost a century ago, DATE
Prospect Elementary School, ORG
Vogue, ORG
6675, DATE
Highland, GPE

"
"all night, TIME
night, TIME

"
"
"
"Granada, GPE
October 2007, DATE

"
"11 to 13 years old, DATE

"
"night, TIME
Edison, ORG
Magnolia Street, FAC
early morning, TIME

"
"Ethel Dwyer, PERSON
one, CARDINAL

"
"George hung, PERSON
first, ORDINAL

"
"here many years ago, DATE
moans, NORP

"
"McNeale Hall -, PERSON
Idyllwild Arts Academy, ORG

"
"late at night, TIME
1 to 3, CARDINAL
late at night, TIME

"
"every night, TIME

"
"the Imperial Valley, LOC
La Llorona, GPE
English, LANGUAGE
The Crying Lady, WORK_OF_ART
Malinche, ORG
Spanish, NORP
Cortez, ORG
Indian, NORP
2, CARDINAL
Cortez, ORG
Spain, GPE
Malinche, ORG
Spain, GPE
2, CARDINAL
Cortez, ORG
the Imperial Valley, LOC

"
"the early 60's, DATE
One, CARDINAL
night, TIME
One, CARDINAL
two, CARDINAL
midnight, TIME
half, CARDINAL
early 80's, DATE
2, CARDINAL
2, CARDINAL
fifth, ORDINAL
several years, DATE
the age of 27, DATE
the Indio Library, FAC
Indio High School, ORG

"
"One, CARDINAL

"
"1960, DATE
Division Board, ORG

"
"Irvine, GPE

"
"1970, DATE
this day, DATE
night, TIME

"
"almost every night, TIME
10:30pm, TIME

"
"night, TIME

"
"
"
"The Willow Hotel, ORG
the 1800s, DATE
Hotel, ORG
23, CARDINAL

"
"28, MONEY
28, MONEY
Jan.24, 2003, DATE
28, MONEY

"
"Keene, GPE
TB, ORG

"
"many of years ago, DATE
this day, DATE

"
"Kerney Mansion, PERSON
around 100 years ago, DATE
Kerneys, PERSON
night, TIME
Kerney, PERSON

"
"1:30am, DATE

"
"Arvin Mortuary - There, PERSON

"
"395, CARDINAL
3 or 4 years old, DATE
night, TIME

"
"thirties, DATE
East, LOC
West, LOC
Lerdo Highway, FAC
Freeway 99, FAC
State Route 43, ORG
years, DATE
years, DATE

"
"one, CARDINAL
one, CARDINAL
The Blue Lady, PRODUCT

"
"Bangor St., ORG
night, TIME
the day, DATE
years ago, DATE
about four years ago, DATE

"
"7, CARDINAL

"
"EVP, ORG

"
"Victorian, NORP

"
"one, CARDINAL

"
"80 year-old, DATE

"
"
"
"June 2008, DATE

"
"Late at night, TIME

"
"Reports, PERSON

"
"two, CARDINAL
Late nights, TIME

"
"night, TIME
many years ago, DATE

"
"late at night, TIME

"
"1996, DATE
The Broadway Department Store, ORG
third, ORDINAL
second, ORDINAL
the Children 's Department, ORG
Lingerie, PERSON
two, CARDINAL
second, ORDINAL
first, ORDINAL
hours, TIME
One, CARDINAL
1996, DATE
only one, CARDINAL
second, ORDINAL
first, ORDINAL

"
"
"
"the Leonard House, ORG
the mid 1800s, DATE
Aptos, PERSON
a Jesuit Mission, ORG
the Tyler House, ORG
the 1960s, DATE
Tyler House, ORG

"
"400, CARDINAL
Late at night, TIME
one, CARDINAL

"
"
"
"The next morning, TIME
night, TIME

"
"Leisure World - Theater - Footsteps, ORG
Technicians, NORP
Leisure World, ORG
the mid 60's, DATE
first, ORDINAL

"
"Birmingham High School, ORG
Birmingham, PERSON
World War II, EVENT
WWII, EVENT
Birmingham High School, ORG
the Performing Arts Building, ORG

"
"one, CARDINAL

"
"3, CARDINAL
4, CARDINAL

"
"Elsinore High School -, ORG
the early 50's, DATE
Soccer, PERSON

"
"china, GPE
creepy, NORP

"
"Saturday, DATE
nights, TIME
about 1, CARDINAL

"
"EVP, ORG
Photos, ORG

"
"
"
"
"
"June 2008, DATE

"
"5th, ORDINAL
4th, ORDINAL
5th, ORDINAL

"
"night, TIME

"
"late at night, TIME

"
"
"
"LPAC, ORG

"
"first, ORDINAL

"
"George, PERSON

"
"Mossdale, ORG
San Joaquin, GPE
1970, DATE
dusk, TIME
Flannel, ORG

"
"Rudy, PERSON

"
"two, CARDINAL

"
"Auditorium/English Building - Reports, ORG
two, CARDINAL
the fifth row sixth, DATE
seventh, ORDINAL

"
"two, CARDINAL
One, CARDINAL
the last row, DATE
about 16 or 17, CARDINAL

"
"Halloween, DATE
Drama Club, ORG
Sighting Shadow's, FAC
Hallway, FAC
Unnaturally Dark, LOC
Spirits, PRODUCT

"
"
"
"Nyman Hall - reports, PERSON

"
"4 year old, DATE

"
"
"
"One night, TIME
1789, DATE

"
"2:00 am, TIME
Halloween, DATE
night, TIME

"
"March 2007, DATE
1920, DATE
six-year, DATE
Narbone, ORG
third, ORDINAL
One, CARDINAL
1920, DATE
Alexander Fleming, PERSON
1940, DATE
third, ORDINAL
third, ORDINAL
one, CARDINAL
about 20, CARDINAL
10, CARDINAL
third, ORDINAL

"
"
"
"two, CARDINAL
One, CARDINAL

"
"Indian, NORP
two, CARDINAL
the middle of the night, DATE

"
"
"
"Navy, ORG
WWII, EVENT
Pacific, LOC
Cal State Long Beach, PERSON
Navy, ORG

"
"6th, ORDINAL
St. - Casa Bonita, ORG
Downtown Long Beach, GPE

"
"Black Figures, ORG

"
"more than one, CARDINAL
late night, TIME

"
"late at night, TIME

"
"Close to, CARDINAL
300, CARDINAL
Don Juan Temple, PERSON
Men, ORG

"
"217, CARDINAL

"
"wet feet prints &, ORG
13, CARDINAL
white &, ORG

"
"
"
"Last year, DATE
VH-1, ORG
Random Play, WORK_OF_ART
fourth, ORDINAL

"
"one, CARDINAL
a hundred, CARDINAL

"
"Late at night, TIME
third, ORDINAL

"
"Suva Intermediate School - A, ORG
2, CARDINAL

"
"Arabella, ORG
Belmont, GPE
Belmont School for Girls, ORG
1900s, DATE

"
"WWII, EVENT
night, TIME

"
"Roosevelt High School - R Building, ORG
3, CARDINAL
a couple decades ago, DATE
3, CARDINAL
four, CARDINAL
three, CARDINAL
Roosevelt, GPE
one, CARDINAL
one, CARDINAL
one, CARDINAL
late at night, TIME
3rd, ORDINAL

"
"Nun, PERSON

"
"two, CARDINAL
CSULA, ORG
the year 1999, DATE
moans, NORP
all hours of the day, TIME

"
"ARCO Refinery - Dark, ORG
the early years, DATE

"
"Yearbook/Newspaper, ORG

"
"Centennial St - Footsteps, PERSON

"
"the night hours, TIME
2004, DATE
Sears, ORG
AMC, ORG

"
"the 1960s, DATE
night, TIME

"
"1924,Over the years, DATE

"
"AON, ORG
Wilshire, PRODUCT
may 4, 1988, DATE
12th, ORDINAL
eleventh, ORDINAL
32nd, ORDINAL
One, CARDINAL
a couple of years back, DATE

"
"Dodger Stadium, FAC
L.A., GPE
the White Lady, ORG
the White Lady, FAC
110, CARDINAL
Solano Ave, GPE
Lodge, ORG
night, TIME
Elysian Park, LOC
Dodger Stadium, FAC
110, CARDINAL
Cathedral High School, ORG

"
"rotunda, GPE
3rd, ORDINAL
3rd, ORDINAL
two, CARDINAL
One, CARDINAL

"
"the middle of the night, DATE

"
"fourth, ORDINAL
today, DATE

"
"
"
"Today, DATE
the next day, DATE

"
"Franklin High School - The, ORG
50, CARDINAL

"
"Mansion of the magician, FAC
Houdini, ORG

"
"Wilshire Boulevard, FAC
Vermont, GPE
the Southwest Law School, ORG
1929, DATE
1930, DATE
Bullock, PERSON

"
"Floor South -  , PERSON
third, ORDINAL
one, CARDINAL
at least one, CARDINAL
hours, TIME

"
"fourth, ORDINAL
April 2005, DATE
4th, ORDINAL
3rd, ORDINAL
3rd, ORDINAL
4th, ORDINAL
4th, ORDINAL
3, CARDINAL
1936, DATE

"
"Knott, PERSON
Chicken Dinner Restaurant, ORG
one, CARDINAL

"
"Walnut - City Of Indusry - St. Mary's Catholic School - Since, GPE
One night, TIME
the next day, DATE

"
"
"
"2001-2002, DATE

"
"Lincoln High School - Underneath, ORG
the early 1900's, DATE
1960, DATE
one, CARDINAL
3 years, DATE
school hours, TIME
early in the morning, TIME

"
"the years, DATE
18th, ORDINAL
6, CARDINAL
1972, DATE

"
"Haunting, GPE
the 2,3,4,27 and 28th, DATE
2nd, ORDINAL
3rd, ORDINAL
4th, ORDINAL
27th, ORDINAL
Tom Bradley, PERSON
Los Angeles, GPE
one, CARDINAL
Hallway, GPE
the late 1800 to early 1900, DATE
28th, ORDINAL
CCTV, ORG
one, CARDINAL
City Hall, FAC
between the hours of 0130-0500 am, TIME
these hours, TIME

"
"The Little Rascal's, ORG
Hop, PERSON
Mary Pickford's, PERSON
Kabar, GPE
Rudolf Valentino, PERSON
1929, DATE

"
"Frank Sinatra, PERSON

"
"night, TIME
60, CARDINAL
150 years old, DATE

"
"The Strub Theatre - Said, ORG

"
"Rains Hall, ORG
1998, DATE

"
"first, ORDINAL
over 40 years, DATE

"
"AMC, ORG
20 - Little, MONEY

"
"three, CARDINAL
Neutrogena, GPE
late nights, TIME

"
"Erdman Hall - A, PERSON
2nd, ORDINAL
the Erdman Residence Hall, ORG
Occidental College, ORG
two, CARDINAL
One, CARDINAL
one, CARDINAL
two, CARDINAL
late at night, TIME

"
"Newcomb Hall - Years ago, PERSON
second, ORDINAL

"
"2nd, ORDINAL
5th, ORDINAL
the 70s, DATE

"
"Qantas Freight, ORG

"
"
"
"
"
"
"
"
"
"first, ORDINAL
night, TIME
nights, TIME
September, DATE
October, DATE

"
"
"
"9:00PM through 3:00 AM, TIME

"
"3, CARDINAL
16-18, CARDINAL
70, CARDINAL
Late at night after hours, TIME
two, CARDINAL

"
"Dykstra Hall - Supposedly, PERSON
third, ORDINAL
a couple of years ago, DATE
creepy, NORP
the night, TIME

"
"late at night, TIME
Wilson, ORG
one, CARDINAL
about 8 feet, QUANTITY

"
"Palace, ORG
6th, ORDINAL
Broadway, FAC
One, CARDINAL
Two, CARDINAL
nearly two dozen, CARDINAL

"
"Dykstra Hall - Dykstra, PERSON
10th, ORDINAL

"
"Venice, GPE

"
"Westminster Ave, PERSON
Apartment Bldg, PERSON
Charlie Chaplin, PERSON
Venice Beach Boardwalk, FAC
Los Angeles, GPE
the day, DATE
Today, DATE
Venice Beach, GPE
26, CARDINAL
Westminster Ave, WORK_OF_ART
Chaplin, PERSON
the early 1900, DATE
Westminster Avenue, FAC
1915, DATE
By the Sea, WORK_OF_ART
Chaplin, PERSON
three days, DATE
Chaplin, PERSON
Chaplin, PERSON
the seventh day, DATE
Chaplin, PERSON
a day, DATE
26, CARDINAL
Chaplin, PERSON
several days, DATE
Chaplin, PERSON
almost an entire week, DATE
this day, DATE
the day, DATE
Chaplin, GPE

"
"third, ORDINAL

"
"
"
"hours, TIME

"
"Julius, PERSON
one, CARDINAL
one, CARDINAL
a week, DATE

"
"about 10 years ago, DATE
night, TIME

"
"the Opera House, ORG
Los Gatos, GPE

"
"Santa Cruz, GPE
Los Gatos, GPE
about 17, CARDINAL
18, CARDINAL

"
"the year of 2003, DATE
the age 20, DATE
the day, DATE
about 15 feet, QUANTITY

"
"1950, DATE
Ajo, GPE
Lake Tahoe, ORG
Around midnight, TIME
midnight, TIME

"
"1986, DATE
Indians, NORP
Phoenix, GPE
New River, LOC

"
"Toltec Elementary School 3, ORG
night, TIME
3, CARDINAL

"
"the Blue Room, PRODUCT
the Grandma Room, FAC
the night, TIME

"
"1931, DATE
Cochise County Jail, PERSON
's Robe, PERSON
2nd, ORDINAL
John Wilson Ross, PERSON
1931 to 1943, DATE
daily, DATE

"
"3rd, ORDINAL

"
"
"
"City Hall, FAC

"
"all hours of the day, TIME
many years, DATE

"
"7, CARDINAL
Manuel, ORG
7-11, TIME

"
"
"
"late at night, TIME

"
"
"
"night, TIME

"
"Arizona, GPE
Arizona, GPE
second, ORDINAL

"
"
"
"Massacre Cave, PERSON
Navajos, PERSON

"
"Cochise, PERSON
Cochise, PERSON
Apache, PRODUCT
Cochise, PERSON

"
"Hovis, PERSON
two, CARDINAL

"
"Indian, NORP
Mezzanine, PRODUCT
Pancho Villa, ORG
Sara, PERSON
4th, ORDINAL
the late 1960's, DATE
1971, DATE
Indian, NORP

"
"two-year-old, DATE

"
"
"
"
"
"only four, CARDINAL
at least 30, CARDINAL

"
"one, CARDINAL

"
"North Morton Hall, PERSON
Flagstaff, ORG
Christmas, DATE

"
"Between 1995 and 1999, DATE
late at night, TIME
the evening, TIME
the evening, TIME
three, CARDINAL
One evening, TIME
Rumor, ORG

"
"Carolina, GPE
Anna Riodan, PERSON

"
"
"
"1973, DATE
Buckely, PERSON
Morey, PERSON
the Arizona Death House, ORG

"
"Florence, GPE

"
"the summer of 1998, DATE

"
"the early 1980's, DATE
Saguaro Blvd, ORG
Saguaro, PERSON

"
"P.E., ORG

"
"West Campus - Las Casas Dorms - In, PERSON
spring of 2007, DATE
One, CARDINAL

"
"2003, DATE
the end of April the 15th, DATE
a week, DATE
six months, DATE
8 years old, DATE

"
"Romeo, LOC
20 years, DATE

"
"13105, DATE
W Glendale - Sounds, ORG

"
"18th Century, DATE
the Ranger House, ORG
Park Ranger, PERSON
the Ranch House, ORG
Smith, PERSON

"
"
"
"night, TIME
night, TIME

"
"Noftsger Hill Elementary, FAC

"
"the Mona Lisa, WORK_OF_ART
Arizona, GPE

"
"sixth, ORDINAL

"
"U, ORG
Harvey Girl, PERSON
the Fred Harvey Company, ORG
the El Tovar Hotel, ORG
the Hopi House, ORG
the El Tovar, GPE
the very early 1900's, DATE
Fred Harvey, PERSON
third, ORDINAL
annual, DATE
Christmas, DATE
third, ORDINAL
the El Tovar Hotel, FAC

"
"the Civilian Conservation Corps, ORG

"
"
"
"Carleton House -  One, PERSON
One, CARDINAL
night, TIME

"
"Linda Landy, PERSON
Linda, PERSON
one day, DATE
Smith Middle School, ORG

"
"
"
"
"
"white roams, FAC

"
"about five feet, QUANTITY

"
"the Cleopatra Room, FAC
1890, DATE

"
"About two, CARDINAL
Kingman, PERSON
Launa's Canyon, FAC
the 1800s, DATE
four(husband, GPE
wife(Launa, GPE
two, CARDINAL
Kingman, PERSON
Launa, PERSON
the night, TIME
Launa, PERSON
two, CARDINAL
later that night, TIME
this day, DATE
Launa, GPE
the hours, TIME
12:00AM, ORG

"
"Hallway, GPE
first, ORDINAL

"
"1970, DATE

"
"Theatre Three, LOC

"
"Power Road, WORK_OF_ART

"
"
"
"11:30PM, GPE
midnight, TIME
the middle of the night, DATE

"
"only one, CARDINAL
many years ago, DATE

"
"
"
"Broadway, FAC
two, CARDINAL
11:15PM, DATE

"
"late at night, TIME
second, ORDINAL
May 2008, DATE
2, CARDINAL
3, CARDINAL
2nd, ORDINAL
4, CARDINAL

"
"1950, DATE
Powell, PERSON
1st Street, FAC

"
"the World War II, EVENT
Officers Club, ORG

"
"
"
"at least two, CARDINAL

"
"15, CARDINAL
a Theatre Room Museum, ORG
second, ORDINAL

"
"TB, ORG
One, CARDINAL
the evening, TIME
the morning, TIME

"
"One late evening, TIME
approximately thirty feet, QUANTITY
one, CARDINAL
today, DATE
night, TIME
the 1890s, DATE
a few thousand, CARDINAL
today, DATE
less than one thousand, CARDINAL

"
"Lake Pleasant, LOC
3AM, ORDINAL
Indians, NORP

"
"night, TIME

"
"Performing Arts Center, WORK_OF_ART

"
"Roosevelt, PERSON
Fillmore, GPE
nine year-old, DATE
August 6,1995, DATE
Phoenix, GPE
One, CARDINAL
Grant, PERSON
evening, TIME
19th, DATE
Camelback, PERSON
two, CARDINAL
a couple of days, DATE
six months later, DATE

"
"many years, DATE
late at night, TIME
three, CARDINAL
two, CARDINAL

"
"4, CARDINAL
Peaks, ORG

"
"night, TIME

"
"Some years ago, DATE
The next day, DATE
one, CARDINAL

"
"Flamenco Unit, ORG
1920, DATE
years, DATE
the years, DATE

"
"one, CARDINAL
second, ORDINAL
night, TIME
three nights in a row, TIME
one night, TIME
fourth, ORDINAL
night, TIME

"
"Deer Valley, LOC
Deer Valley's, LOC

"
"Leveen, GPE
Indians, NORP
The Boonies, ORG
Centaur, NORP

"
"July 2005, DATE
Haunted Places, ORG

"
"Trevor G Browne High School -, PERSON
the early 1990, DATE
moans, NORP
night, TIME

"
"first, ORDINAL
Arizona, GPE
night, TIME

"
"the 1920s, DATE
Leone Jensen, PERSON
first, ORDINAL
Phoenix, GPE

"
"first, ORDINAL

"
"35th Avenue, FAC
McDowell - - Update: Burned, ORG
March 14, 2001, DATE
Bret Tarver, PERSON

"
"some twenty years ago, DATE
first, ORDINAL
midnight, TIME

"
"Lepsy - Near, ORG
Lepsy, PERSON
Chinese, NORP

"
"years, DATE
Angeline, ORG
1800, DATE
Angeline, ORG
a few miles, QUANTITY
Lynx Lake, GPE
Diamond Valley, GPE
Prescott, ORG

"
"
"
"14, CARDINAL
17, CARDINAL

"
"
"
"
"
"1921, DATE
Abby Byr, PERSON
The Consumption, WORK_OF_ART
Abby, PERSON
16, CARDINAL
Today, DATE
Abby, PERSON
Vendome, PERSON
16, CARDINAL

"
"Sharlot Hall - Visitors, FAC

"
"
"
"Indian, NORP

"
"1989, DATE
several hours later, TIME
Some years later, DATE
A year, DATE

"
"June 2008 - Removed, DATE

"
"Charlie, PERSON
1880, DATE

"
"
"
"Indian, NORP

"
"
"
"sixth, ORDINAL
Palo Verde East, LOC
605, CARDINAL
sixth, ORDINAL

"
"Tempe, GPE
1930, DATE
40, DATE

"
"9:00PM, TIME

"
"Mountain Bell, ORG
1900, DATE
second, ORDINAL
Trail, GPE
second, ORDINAL
years, DATE
second, ORDINAL
first, ORDINAL
Trails, ORG
first, ORDINAL
the years, DATE

"
"
"
"
"
